fare_id,price,currency_type,payment_method,transfers
409BI1,5.5,BRL,0,0
6116,7.35,BRL,0,0
6118,4.65,BRL,0,0
033,6.4,BRL,0,0
5304PR2,5.9,BRL,0,0
6316EX1,6.6,BRL,0,0
6213EX2,9.5,BRL,0,0
380,4.2,BRL,0,0
283VP1,5.9,BRL,0,0
466EX2,6.15,BRL,0,0
19CELESTE,0.0,BRL,0,0
032,6.6,BRL,0,0
6340,10.05,BRL,0,0
6119,4.65,BRL,0,0
287UBUS,8.5,BRL,0,0
309,8.5,BRL,0,0
322,7.05,BRL,0,0
6316EX2,6.6,BRL,0,0
054,9.0,BRL,0,0
02Verde,0.0,BRL,0,0
6113,21.9,BRL,0,0
6114,21.9,BRL,0,0
6108VP2,11.1,BRL,0,0
6339,9.2,BRL,0,0
6120,4.65,BRL,0,0
633VP1,14.15,BRL,0,0
848,6.1,BRL,0,0
6220EX1,5.55,BRL,0,0
313VP1,8.65,BRL,0,0
228,6.6,BRL,0,0
361EX1,6.4,BRL,0,0
386,8.75,BRL,0,0
736VP1,5.95,BRL,0,0
122,5.9,BRL,0,0
260EX1,6.2,BRL,0,0
6322EX1,4.45,BRL,0,0
462,8.4,BRL,0,0
6219DV1,5.55,BRL,0,0
055,9.0,BRL,0,0
5211EX1,5.05,BRL,0,0
332VP1,5.1,BRL,0,0
6311EX1,5.1,BRL,0,0
6334EX1,17.0,BRL,0,0
264,7.05,BRL,0,0
758,6.15,BRL,0,0
264BI1,6.6,BRL,0,0
345,6.5,BRL,0,0
968,5.55,BRL,0,0
6115EX1,14.75,BRL,0,0
350,7.85,BRL,0,0
860,7.45,BRL,0,0
870,8.05,BRL,0,0
417,5.9,BRL,0,0
870EX1,6.5,BRL,0,0
819EX1,8.15,BRL,0,0
964,5.55,BRL,0,0
6338EX1,6.35,BRL,0,0
956,5.55,BRL,0,0
419,8.65,BRL,0,0
463,6.15,BRL,0,0
468,7.55,BRL,0,0
533,6.15,BRL,0,0
121,5.2,BRL,0,0
403,7.05,BRL,0,0
421,5.9,BRL,0,0
350BI1,7.85,BRL,0,0
962,5.55,BRL,0,0
958,5.55,BRL,0,0
959,5.55,BRL,0,0
382,7.05,BRL,0,0
158BI1,7.05,BRL,0,0
160EX1,7.65,BRL,0,0
121,5.9,BRL,0,0
016,6.7,BRL,0,0
247EX1,6.5,BRL,0,0
6105EX1,21.7,BRL,0,0
466EX1,6.15,BRL,0,0
011PR1,7.1,BRL,0,0
219,9.7,BRL,0,0
316,43.9,BRL,0,0
258,43.9,BRL,0,0
214,18.55,BRL,0,0
379,18.6,BRL,0,0
206,27.9,BRL,0,0
455,6.15,BRL,0,0
456,6.2,BRL,0,0
277,9.75,BRL,0,0
5403EX1,26.0,BRL,0,0
219BI1,9.0,BRL,0,0
152DV1,7.75,BRL,0,0
163,5.8,BRL,0,0
105,5.8,BRL,0,0
103,5.8,BRL,0,0
165,8.4,BRL,0,0
027,5.45,BRL,0,0
405,6.1,BRL,0,0
151,5.45,BRL,0,0
063,8.65,BRL,0,0
040,8.4,BRL,0,0
002,5.0,BRL,0,0
047,5.45,BRL,0,0
030,5.5,BRL,0,0
001,5.0,BRL,0,0
411,8.3,BRL,0,0
036,8.85,BRL,0,0
076,6.1,BRL,0,0
377,6.1,BRL,0,0
145,6.1,BRL,0,0
332,5.1,BRL,0,0
367,5.55,BRL,0,0
068,5.85,BRL,0,0
841,5.85,BRL,0,0
253,6.15,BRL,0,0
095,7.25,BRL,0,0
252,7.75,BRL,0,0
239,4.75,BRL,0,0
438,8.7,BRL,0,0
852,7.45,BRL,0,0
340,5.0,BRL,0,0
339,5.0,BRL,0,0
139,6.7,BRL,0,0
216,4.45,BRL,0,0
442,7.2,BRL,0,0
903,5.55,BRL,0,0
936,6.25,BRL,0,0
942,5.55,BRL,0,0
943,5.55,BRL,0,0
948,5.55,BRL,0,0
008,5.9,BRL,0,0
6213EX1,6.9,BRL,0,0
113,5.9,BRL,0,0
116,13.65,BRL,0,0
