ANO;MES;LINHA;ESTACAO;MEDIA;DETALHE_1;DETALHE_2
2017;JANEIRO;LINHA 1;JAB;78;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;CON;34;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;JUD;18;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;SAU;31;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;ARV;19;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;SCZ;52;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;VMN;22;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;ANR;77;Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;Sem Observação
2017;JANEIRO;LINHA 1;PSO;94;Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;Sem Observação
2017;JANEIRO;LINHA 1;VGO;26;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;JQM;24;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;LIB;24;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;PSE;201;Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;Sem Observação
2017;JANEIRO;LINHA 1;BTO;69;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;LUZ;143;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;TRD;12;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;PPQ;27;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;TTE;59;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;CDU;12;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;SAN;55;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;JPA;12;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;PIG;14;Sem Observação;Sem Observação
2017;JANEIRO;LINHA 1;TUC;59;Sem Observação;Sem Observação
