METRÔ DE SÃO PAULO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES SOBRE A DEMANDA - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entrada de Passageiros por Estação - Diária (em milhares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obs.: Arquivo com a Sigla das Estações disponível em Infraestrutura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENTRADAS POR ESTAÇÃO - LINHA 1-AZUL - JAN/2020 (MIL);;;;;;;;;;;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 2-VERDE - JAN/2020 (MIL);;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 3-VERMELHA - JAN/2020 (MIL);;;;;;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 15-PRATA - JAN/2020 (MIL);;;;;;;;;;;
DIA;JAB;CON;JUD;SAU;ARV;SCZ;VMN;ANR;PSO;VGO;JQM;LIB;PSE;BTO;LUZ;TRD;PPQ;TTE;CDU;SAN;JPA;PIG;TUC;TOTAL;;DIA;VPT;TTI;SAC;AIP;IMG;CKB;ANR;PSO;BGD;TRI;CNS;CLI;SUM;VMD;TOTAL;;DIA;ITQ;ART;PCA;VPA;VTD;PEN;CAR;TAT;BEL;BRE;BAS;PDS;PSE;GBU;REP;CEC;DEO;BFU;TOTAL;;DIA; VPM ; ORT ; SLU ; CAD ; VTL ; VUN ; JPL ; SAP ; FJT ; MAT ;TOTAL
1;59,3;6;3,7;5,4;2,7;21,4;2,7;3,4;3,8;4,8;4,1;3,4;3,2;2,6;22,2;2,2;6,3;38,4;2,1;11,3;1,7;2,3;13,3;226,1;;1;3,4;11,9;7,7;2,6;2;11,9;1,4;1,8;10;12;20,5;3,2;1,5;3,7;93,4;;1;23,4;13,1;4,5;4,5;5,5;6,3;8,2;20,9;7,9;5,9;21;6,3;4,8;9;28,8;6,1;5,6;50,4;232,3;;1;1,5;0,8;0,8;0,6;0,8;1,1;1,8;0,6;0,3;1,1;9,3
2;82,7;24,6;11,7;20,4;11;65,9;10,6;11,6;13,6;16,9;14,2;14,6;14,6;47,5;89,6;6,9;17,9;64,5;9;36,4;7,2;8,6;43,5;643,5;;2;16,7;46,7;25,9;10,6;9,2;44,9;6,5;7,6;37,2;33,3;66,3;13,4;6,8;13,2;338,2;;2;60,9;40,4;15,2;14,6;17,1;20,2;26,5;55,5;27,7;19,9;66,6;14,7;21,1;39,7;97,4;19,3;19;129,2;704,9;;2;7,5;2,9;2,3;1,9;1,6;2,6;4,6;1,1;0,4;1,8;26,6
3;74,5;26,9;13,3;23,6;13,4;74,8;12,7;13,8;15,6;18,9;16,1;18;17;57,1;106,1;7,9;18,8;57,1;9,5;41,3;8,4;9,7;48,5;702,7;;3;20,2;51,5;29,1;12,1;10,4;49,4;7,7;8,8;42;36,8;85,9;15,2;7,4;15,3;391,8;;3;66,1;44,5;16,6;16,1;19,7;21,5;30,9;63,9;31,3;24,1;74,8;16,5;24,4;43,9;109,7;22,2;21,7;140,1;787,8;;3;8,4;2,5;2,4;1,8;1,6;2,1;3,1;0,8;0,5;1,2;24,4
4;50,8;13,1;5,8;15,7;8,2;48,8;7,2;9,6;9,7;10,6;7,4;17,1;10,8;38,7;62,7;5,4;11,8;44,9;5,1;25,9;4,7;5,3;30,1;449,4;;4;11,4;28,1;17,7;6,9;5,9;25,7;3,2;3,1;21,5;18,6;37,8;5,7;3,5;8,5;197,6;;4;46,5;29,3;10,4;10,3;12;14,8;19,6;47,5;19,9;16;57,5;11,3;13,7;22,3;60,2;13,1;13,3;90,9;508,8;;4;3,9;1,1;1,1;0,8;0,8;1;1,3;0,6;0,3;0,9;11,8
5;40,4;8,4;5,2;9;4,8;30,9;4,6;5,7;5,4;7,2;5,7;13,1;4,1;6,5;28;3,4;7,1;40,8;3,3;15,1;2,7;3,3;17,5;272,3;;5;8,3;17,9;11;4,5;3,8;17,2;2,3;2,6;17,7;17,1;42,3;3,9;2,4;5,9;157;;5;30,7;17,6;6;6;7,8;8,9;11,7;29,9;13,3;9,8;25,6;8,8;6,2;11,4;34,3;9;8;64,4;309,4;;5;1,4;0,5;0,5;0,3;0,4;0,3;0,6;0,2;0,1;0,2;4,5
6;80,7;33,6;17,1;30,6;13,7;97,1;17,4;18,2;20,9;25,6;21,6;20,7;22,1;68,2;128,7;11,7;25,1;63;12,6;53,2;11,7;13;60,8;867,2;;6;19,6;67,9;38,3;16,4;13,7;66,8;10,2;11,8;52,9;47,5;101,9;21,5;10,7;21,6;500,9;;6;79,1;54,7;20,7;20,5;24,7;28,8;40;69,3;37,8;30,1;91,2;19,4;31,8;56,6;138,4;27;28,3;162,3;960,6;;6;9,3;5,3;4,2;2,9;3,8;5;6,2;3,7;1,8;6,4;48,5
7;77,9;34,5;17,4;30,4;18,2;100,3;17,7;19,4;21,7;26,3;18,5;21,6;23,5;69,3;122,3;12,1;21,7;56,1;12,7;54,9;12,5;13,7;61,7;864,5;;7;20,2;68,9;39,6;16,6;14;69,9;10,9;12,2;56;49,5;98,9;22,1;11,5;23;513,4;;7;79,8;56,6;21,6;21;25,7;29,4;40,9;79,4;36,7;30,8;93,5;21,9;33,8;60,3;145,3;27,9;29,2;177,3;1011;;7;9,3;5,8;4,6;3,3;4,3;5,3;4,4;5,7;2,3;10,6;55,6
8;76,6;34,4;17,3;30,5;18,1;99,4;17,6;19,3;21,5;26,6;21,8;21,4;23,6;65,8;127;12,4;24;55,2;12,9;55,2;12,2;13,7;62,3;868,6;;8;20,1;69,1;39,1;17;14;69,6;10,9;12,1;56,1;50,8;111,5;21,7;11,8;23;526,7;;8;79,1;56,2;21,3;20,9;26;28,4;40,5;79,6;40;29,5;90,6;20,3;34;58,3;144;28;29,3;177,4;1003,3;;8;9,3;5,8;4,6;3,2;4,2;5,2;4,1;5,9;2,6;11,2;56,1
9;77,1;34,4;17,4;26;18,5;99,9;17,3;19,8;22,2;26,5;22,2;22,1;23,3;69,5;123,4;12,3;24,3;53,3;12,6;55,8;12,3;13,8;62,7;866,9;;9;20,5;69,2;40,1;17,2;14,1;70,5;11,1;12,5;57,6;50,6;112,5;22;11,9;23,6;533,5;;9;78,9;56,7;21,8;21,4;26,4;29,1;41;79,5;39,9;30;91,1;20,2;33,6;58,5;143,4;28,4;30,1;172,4;1002,4;;9;9,5;5,8;4,8;3,4;4,4;5,3;3,9;5,9;2,6;11,6;57
10;75;34,6;17,7;31,8;19,1;103,2;18,2;19,8;21,9;25,8;22,4;23;23,3;69,4;127,6;12,5;25,2;57,8;12,7;57,3;9,2;14,2;58,6;880,2;;10;21,1;71,9;41,3;17,5;14,4;70,6;11,1;12,3;57,9;51,4;107,7;21,1;11,8;23,9;533,7;;10;82,7;58,3;22,1;22;26,9;30,4;42;81,5;40,3;31,1;88,3;20,9;33,5;59,5;146,8;27,8;30,1;177,8;1022,2;;10;9,4;5,9;4,9;3,3;4,5;5,6;4;6,2;2,8;12,1;58,7
11;52,6;15,8;9;18,5;10,3;58,6;9,4;11,9;11,7;12,6;11,1;19,3;11,8;44,7;70,1;6,9;13,1;41;6,3;32,3;4,5;6,9;36,6;515,1;;11;19,4;34,7;21,7;8,8;7;31,2;4;3,7;25,2;22,5;51,9;6,7;4,7;11,3;252,7;;11;54,4;35,2;12,8;12,8;15,4;16,5;25,1;53,2;24,3;19,9;74,9;13,9;15;26,6;72,7;15,6;15,7;109;613;;11;4,9;0,8;0,8;0,5;0,6;0,6;0,6;0,9;0,4;1,5;11,5
12;43,8;9,3;5,8;9,8;5,1;33,8;5;6;6,3;8,3;6,4;12;3,9;7;31,2;3,6;8,6;36,8;3,7;16,2;2,8;3,6;18,6;287,5;;12;10,1;20,1;12,3;5;4,3;19,1;2,5;3;16,8;16,7;32,8;4,3;2,8;6,1;155,8;;12;34,3;18,2;6,4;6,4;7,8;9,1;11,9;34,5;13,2;10,3;29,5;10,2;5,8;12,3;37,6;9,8;8,6;69,6;335,5;;12;2,2;0,6;0,5;0,3;0,5;0,6;0,5;0,7;0,3;1,2;7,5
