METRÔ DE SÃO PAULO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES SOBRE A DEMANDA - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entrada de Passageiros por Estação - Diária (em milhares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obs.: Arquivo com a Sigla das Estações está disponível em Infraestrutura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENTRADAS POR ESTAÇÃO - LINHA 1-AZUL - JAN/2023 (MIL);;;;;;;;;;;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 2-VERDE - JAN/2023 (MIL);;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 3-VERMELHA - JAN/2023 (MIL);;;;;;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 15-PRATA - JAN/2023 (MIL);;;;;;;;;;;;
DIA;JAB;CON;JUD;SAU;ARV;SCZ;VMN;ANR;PSO;VGO;JQM;LIB;PSE;BTO;LUZ;TRD;PPQ;TTE;CDU;SAN;JPA;PIG;TUC;TOTAL;;DIA;VPT;TTI;SAC;AIP;IMG;CKB;ANR;PSO;BGD;TRI;CNS;CLI;SUM;VMD;TOTAL;;DIA;ITQ;ART;PCA;VPA;VTD;PEN;CAR;TAT;BEL;BRE;BAS;PDS;PSE;GBU;REP;CEC;DEO;BFU;TOTAL;;DIA; VPM ; ORT ; SLU ; CAD ; VTL ; VUN ; JPL ; SAP ; FJT ; MAT ;IGT;TOTAL
1;49,2;4,6;2,5;4,0;1,9;17,6;2,3;2,7;2,8;4,2;3,8;4,1;1,7;2,3;13,9;1,9;4,6;28,1;1,6;8,9;1,3;1,8;10,0;175,7;;1;2,3;12,0;6,9;2,2;1,6;9,5;1,1;1,3;7,9;9,8;15,4;2,6;1,1;2,5;76,2;;1;19,1;10,9;3,4;3,5;4,4;4,6;5,7;18,4;6,3;5,5;13,9;6,3;2,6;6,7;22,4;4,8;4,6;36,4;179,4;;1;0,9;0,8;0,9;0,7;0,9;1,0;0,9;1,7;0,8;3,6;0,8;13,0
2;68,7;13,9;8,1;14,6;7,6;53,5;8,1;9,6;10,1;14,2;10,4;15,3;8,7;33,5;68,6;6,0;12,7;55,2;5,9;27,8;5,1;5,8;33,2;496,7;;2;9,0;40,6;22,1;8,9;7,5;34,6;5,4;5,7;26,4;22,9;49,6;11,2;4,3;9,1;257,1;;2;47,8;32,8;11,8;11,3;14,0;15,2;21,2;43,5;20,4;16,9;48,4;9,6;12,5;29,3;68,0;13,8;14,6;93,8;524,9;;2;3,9;3,0;2,7;1,9;3,0;3,2;2,6;5,0;2,3;10,4;3,1;41,1
3;67,5;17,1;10,0;17,8;9,5;63,6;10,2;12,2;12,7;17,3;13,4;16,4;10,2;42,0;89,0;7,4;14,2;49,1;7,5;33,5;6,4;7,3;39,4;573,6;;3;11,2;50,9;27,1;11,3;9,0;42,1;6,8;7,2;32,9;29,6;62,4;13,7;5,7;11,7;321,4;;3;56,2;39,6;14,3;14,1;17,3;18,6;26,8;53,0;25,9;20,8;59,2;12,4;14,7;35,5;83,7;16,4;17,5;103,6;629,4;;3;5,2;4,0;3,2;2,4;3,5;4,0;3,2;6,0;2,7;12,7;4,0;51,0
4;59,8;17,0;11,1;18,6;9,8;65,3;10,8;12,8;13,6;18,3;13,8;16,3;10,7;43,8;92,5;8,0;14,4;43,0;7,8;33,8;6,6;7,6;40,8;576,5;;4;11,8;52,2;28,1;11,7;9,4;43,5;7,2;7,7;33,8;30,3;65,3;14,9;5,9;12,2;333,9;;4;58,3;41,3;15,2;14,5;18,4;19,5;28,0;55,2;26,9;21,7;60,2;12,5;15,4;37,5;89,9;17,5;18,3;106,4;656,9;;4;5,5;4,1;3,4;2,5;3,7;4,1;3,3;6,1;3,0;13,0;4,1;52,7
5;56,9;18,3;10,7;19,4;10,3;67,3;11,1;13,6;13,8;18,7;14,5;16,4;10,8;43,6;92,1;8,1;14,7;39,9;7,4;36,1;6,9;8,0;41,8;580,4;;5;12,3;53,2;28,9;12,1;9,6;44,0;7,6;7,8;35,2;31,2;67,6;15,2;6,3;12,9;343,9;;5;58,3;41,8;15,4;14,9;16,2;19,7;29,0;56,1;27,4;20,9;59,8;12,4;15,6;38,3;90,2;17,4;19,1;113,6;666,1;;5;5,6;4,2;3,6;2,5;3,7;4,2;3,2;6,2;3,1;13,2;4,3;53,9
6;58,0;18,2;11,1;20,1;11,1;70,7;11,8;13,7;13,9;18,4;14,7;18,5;11,7;46,7;97,3;8,4;15,2;41,9;7,5;37,6;7,2;8,1;42,8;604,5;;6;12,5;54,2;29,7;12,2;9,7;44,7;7,7;7,8;35,2;29,7;67,5;14,9;6,1;12,9;344,7;;6;60,8;43,0;15,8;15,2;19,1;20,2;30,3;60,6;28,4;22,5;62,4;13,1;16,8;38,8;93,7;17,9;19,5;107,3;685,5;;6;5,9;4,3;3,7;2,6;3,8;4,2;3,4;6,3;3,1;13,6;4,2;55,1
7;41,2;11,1;6,4;13,2;6,9;45,8;7,0;9,8;9,1;10,2;9,0;24,6;7,0;31,7;90,4;5,9;9,7;33,4;3,9;23,6;4,1;4,7;26,7;435,5;;7;7,2;31,9;19,0;6,7;5,7;24,5;3,3;2,9;18,6;16,0;39,6;4,9;2,9;7,6;190,9;;7;40,6;27,6;10,0;9,3;11,8;12,7;18,2;49,9;16,9;17,1;45,0;8,7;8,9;19,6;54,3;11,2;12,1;69,3;443,4;;7;3,4;2,2;2,3;1,6;2,4;2,6;2,2;4,1;1,8;8,2;2,3;33,1
8;33,6;6,9;4,1;9,2;3,8;27,2;3,9;5,5;5,4;7,1;6,5;17,3;2,5;5,3;25,0;4,7;6,7;29,5;3,1;13,6;2,5;2,9;15,2;241,4;;8;4,1;17,3;11,5;4,0;3,4;12,7;2,2;2,5;12,9;15,7;28,3;3,3;2,0;4,8;124,8;;8;26,9;16,3;5,4;5,3;7,0;7,8;10,5;31,5;11,8;13,8;29,4;6,6;3,7;9,9;31,7;8,2;7,3;61,1;294,1;;8;1,5;1,3;1,3;0,9;1,4;1,6;1,4;2,4;1,2;4,8;1,3;19,2
9;63,6;22,3;9,4;21,2;11,7;75,8;12,6;14,7;16,0;21,5;16,3;18,3;13,7;50,6;109,9;9,9;16,9;45,1;8,0;40,1;8,1;9,3;46,5;661,7;;9;13,8;59,9;32,1;13,2;10,6;45,5;8,3;9,0;39,0;36,1;82,8;16,8;7,4;15,4;389,8;;9;64,6;46,3;17,1;16,6;20,8;21,8;33,3;62,4;29,8;24,8;58,7;13,4;19,8;43,4;102,0;19,2;21,2;115,9;731,2;;9;6,2;4,8;3,9;2,8;4,2;4,5;3,6;6,8;3,3;14,5;4,6;59,2
10;60,6;21,0;12,4;22,1;12,1;77,9;13,3;15,7;16,2;21,3;17,1;18,6;13,9;51,7;112,4;10,3;17,0;40,6;8,4;41,9;8,6;9,8;47,8;670,7;;10;14,7;61,4;33,2;13,9;10,9;47,9;8,8;9,1;41,8;36,3;79,2;17,4;7,6;15,8;398,0;;10;66,0;47,6;17,6;17,0;21,8;22,6;28,8;65,9;31,9;25,9;68,5;14,8;20,0;43,9;103,7;19,6;21,7;120,2;757,4;;10;6,7;5,1;4,2;3,0;4,3;4,8;3,7;7,0;3,4;14,7;4,8;61,7
