fare_id,route_id
409BI1,409BI1
6116,6116
6118,6118
033,033
5304PR2,5304PR2
6316EX1,6316EX1
6213EX2,6213EX2
380,380
283VP1,283VP1
466EX2,466EX2
19CELESTE,19CELESTE
032,032
6340,6340
6119,6119
287UBUS,287UBUS
309,309
322,322
6316EX2,6316EX2
054,054
02Verde,02Verde
6113,6113
6114,6114
6108VP2,6108VP2
6339,6339
6120,6120
633VP1,633VP1
848,848
6220EX1,6220EX1
313VP1,313VP1
228,228
361EX1,361EX1
386,386
736VP1,736VP1
122,122
260EX1,260EX1
6322EX1,6322EX1
462,462
6219DV1,6219DV1
055,055
5211EX1,5211EX1
332VP1,332VP1
6311EX1,6311EX1
6334EX1,6334EX1
264,264
758,758
264BI1,264BI1
345,345
968,968
6115EX1,6115EX1
350,350
860,860
870,870
417,417
870EX1,870EX1
819EX1,819EX1
964,964
6338EX1,6338EX1
956,956
419,419
463,463
468,468
533,533
121,121
403,403
421,421
350BI1,350BI1
962,962
958,958
959,959
382,382
158BI1,158BI1
160EX1,160EX1
121,121
016,016
247EX1,247EX1
6105EX1,6105EX1
466EX1,466EX1
011PR1,011PR1
219,219
316,316
258,258
214,214
379,379
206,206
455,455
456,456
277,277
5403EX1,5403EX1
219BI1,219BI1
152DV1,152DV1
163,163
105,105
103,103
165,165
027,027
405,405
151,151
063,063
040,040
002,002
047,047
030,030
001,001
411,411
036,036
076,076
377,377
145,145
332,332
367,367
068,068
841,841
253,253
095,095
252,252
239,239
438,438
852,852
340,340
339,339
139,139
216,216
442,442
903,903
936,936
942,942
943,943
948,948
008,008
6213EX1,6213EX1
113,113
116,116
052,052
293,293
315,315
039,039
911,911
912,912
913,913
932DV1,932DV1
673,673
591,591
470,470
107,107
182,182
622,622
246EX1,246EX1
171,171
051,051
354,354
362,362
079,079
090,090
459,459
928,928
624,624
629,629
507,507
148EX1,148EX1
358,358
498,498
359,359
302,302
947,947
933,933
937,937
940,940
633,633
632,632
635,635
636,636
673EX2,673EX2
324,324
204,204
939,939
231,231
231BI1,231BI1
678,678
679,679
674,674
727,727
637,637
652,652
653,653
654,654
530,530
559,559
313,313
399,399
291,291
534,534
915,915
517,517
827,827
439,439
919,919
925,925
520,520
382EX1,382EX1
824EX1,824EX1
526,526
537,537
550,550
478BI1,478BI1
100,100
249,249
250,250
657,657
011,011
094,094
944,944
655,655
660,660
663,663
697,697
698,698
934EX1,934EX1
580,580
541,541
584,584
573,573
585,585
578,578
934,934
675,675
676,676
677,677
699,699
694,694
702,702
695,695
704,704
551,551
708BI2,708BI2
563,563
836,836
101,101
688,688
686,686
689,689
724,724
473,473
705,705
709,709
708,708
509,509
508,508
565,565
157,157
102,102
195,195
196,196
5209,5209
512,512
521,521
167PR1,167PR1
480,480
835,835
636PR1,636PR1
484,484
555,555
970,970
587,587
5107,5107
238,238
366,366
342DV1,342DV1
497,497
496EX1,496EX1
969,969
5220,5220
809,809
6308,6308
6311,6311
6312,6312
965,965
957,957
963,963
329,329
247,247
6115,6115
478,478
538,538
511,511
952,952
560,560
337BI1,337BI1
5407VP2,5407VP2
850EX1,850EX1
428,428
390,390
481,481
600,600
604,604
604EX1,604EX1
351PR1,351PR1
506,506
247VP2,247VP2
617PR1,617PR1
840,840
489,489
492,492
494,494
342,342
396,396
197,197
349,349
408,408
609,609
606,606
608,608
612DV1,612DV1
490,490
173,173
493,493
140,140
607,607
615,615
617,617
292DV1,292DV1
454,454
050,050
050EX1,050EX1
446,446
614,614
714,714
623,623
828,828
949DV1,949DV1
572,572
568,568
838,838
715,715
719,719
579,579
030BI1,030BI1
261,261
311DV1,311DV1
831,831
038VP1,038VP1
390BI1,390BI1
6108EX3,6108EX3
087,087
244,244
557,557
262,262
265,265
323,323
734,734
619,619
536,536
468BI1,468BI1
120,120
190,190
628,628
211,211
193,193
089,089
625,625
627,627
042,042
241,241
191,191
279,279
300,300
117,117
336,336
374,374
638,638
639,639
644,644
647,647
651,651
5210,5210
156,156
381,381
215,215
402,402
307,307
5209DV1,5209DV1
034,034
451,451
842,842
227DV1,227DV1
341DV1,341DV1
469,469
202,202
5211,5211
170,170
230,230
085VP1,085VP1
280,280
280BI1,280BI1
658,658
278,278
303,303
053,053
053BI1,053BI1
229,229
080,080
352,352
138,138
659,659
085,085
093,093
248,248
096,096
535,535
200,200
620,620
5303,5303
201,201
257,257
003,003
104,104
914,914
664,664
666,666
5212,5212
5213,5213
5214,5214
5216,5216
5304,5304
662,662
337,337
110,110
111,111
042VP1,042VP1
210,210
668,668
5306,5306
5307,5307
5501,5501
5320,5320
240,240
049,049
187,187
281,281
640,640
700,700
701,701
696,696
939DV1,939DV1
5503,5503
375,375
217,217
153,153
305,305
255,255
706,706
503,503
652EX1,652EX1
655DV1,655DV1
5504,5504
283,283
223,223
020,020
023,023
024,024
938,938
941,941
739,739
652EX2,652EX2
5508,5508
022,022
246,246
404,404
082,082
418,418
552,552
266DV1,266DV1
513,513
5511,5511
5305,5305
5506,5506
5206,5206
821,821
5219,5219
246BI1,246BI1
012,012
226,226
237,237
266,266
137,137
335,335
082BI1,082BI1
227,227
341,341
292,292
331,331
429,429
683,683
685,685
040EX1,040EX1
606EX1,606EX1
819,819
409,409
236,236
212,212
708BI1,708BI1
824,824
810,810
5304PR1,5304PR1
816,816
310,310
312,312
540,540
961,961
955,955
950,950
488,488
826,826
749,749
499,499
501,501
378,378
467,467
531,531
158,158
100BI1,100BI1
160,160
175,175
427,427
843,843
443,443
582,582
742,742
800,800
750,750
321,321
214VP1,214VP1
472,472
5105,5105
5109,5109
5204,5204
5205,5205
5207,5207
156BI1,156BI1
218,218
314,314
134,134
360,360
198,198
426,426
510,510
6105,6105
149,149
254,254
254DV1,254DV1
148,148
147,147
439VP1,439VP1
273,273
6206,6206
6207,6207
6207VP1,6207VP1
114,114
141,141
038,038
415,415
416,416
025,025
245,245
124,124
128,128
6328,6328
6327,6327
6330,6330
825,825
178,178
343,343
834,834
125BI1,125BI1
178BI1,178BI1
5217,5217
6330PR1,6330PR1
6222BI2,6222BI2
6335,6335
6321,6321
6320BI1,6320BI1
256,256
297,297
351,351
351BI1,351BI1
422,422
327,327
269,269
6320,6320
566,566
6323,6323
6326,6326
6104,6104
6209,6209
6208,6208
6324,6324
014,014
180,180
430,430
084,084
086,086
199,199
060,060
5312,5312
6301,6301
6302,6302
6303,6303
466,466
086PR1,086PR1
181,181
061,061
263,263
479,479
059,059
060BI1,060BI1
6110,6110
6108,6108
6316,6316
6214,6214
6215,6215
319,319
432,432
318,318
242,242
075,075
088,088
745,745
746,746
5318,5318
6219,6219
073,073
152,152
077,077
589,589
549,549
574,574
154,154
6220,6220
6216,6216
6218,6218
6333,6333
6334,6334
004,004
112,112
431,431
006,006
064,064
218EX1,218EX1
177,177
596,596
5104,5104
6338,6338
953,953
845,845
123,123
165BI1,165BI1
165EX1,165EX1
424,424
5110,5110
5402,5402
5404,5404
244BI1,244BI1
244VP1,244VP1
460,460
069,069
194,194
043,043
043BI1,043BI1
032DV1,032DV1
070,070
5505,5505
954,954
636EX1,636EX1
815,815
6315VP1,6315VP1
372,372
115,115
598,598
167,167
166,166
166BI1,166BI1
601,601
605,605
744,744
384,384
529,529
525,525
213,213
347,347
078,078
5506DV1,5506DV1
5313DV1,5313DV1
5207DV1,5207DV1
450,450
449,449
041,041
448,448
392,392
361,361
311,311
5403,5403
5405,5405
6225EX1,6225EX1
6108EX1,6108EX1
348,348
288,288
394,394
353,353
363,363
317,317
436,436
6108EX2,6108EX2
6108EX4,6108EX4
551VP1,551VP1
850,850
285,285
906,906
907,907
902,902
917,917
284,284
918,918
376,376
618,618
288PIR,288PIR
802,802
807,807
673EX1,673EX1
905,905
927,927
931,931
932,932
581,581
208,208
290,290
287,287
933BI1,933BI1
945,945
909,909
287PIR,287PIR
910,910
921,921
616,616
5208,5208
591DV1,591DV1
6322,6322
6213,6213
6222,6222
6222BI1,6222BI1
6101,6101
6201,6201
6306,6306
6305,6305
630,630
631,631
626,626
082DV1,082DV1
680VP1,680VP1
687EX2,687EX2
524,524
833,833
634,634
661,661
542,542
811,811
855,855
604DV1,604DV1
606DV1,606DV1
736,736
822,822
543,543
737,737
496,496
588,588
5311,5311
5308,5308
5316,5316
5317,5317
5319,5319
5509,5509
687EX1,687EX1
528,528
063EX1,063EX1
823,823
6225,6225
6226,6226
6106,6106
6223,6223
6109,6109
709EX1,709EX1
703,703
624DV1,624DV1
493DV1,493DV1
027EX1,027EX1
059PR1,059PR1
951,951
829,829
286,286
289,289
125,125
056,056
036BI1,036BI1
291BI1,291BI1
035,035
462BI1,462BI1
334,334
687,687
5113,5113
6320DV1,6320DV1
649,649
5301,5301
707,707
532,532
518,518
130,130
346,346
058,058
203,203
260,260
407,407
930,930
929,929
949,949
461,461
680,680
693,693
612,612
621,621
642,642
636PR2,636PR2
727EX1,727EX1
740,740
500,500
6325,6325
558,558
120PR1,120PR1
741,741
324BI1,324BI1
911DV1,911DV1
655PR1,655PR1
654BI1,654BI1
933DV1,933DV1
564,564
242BI1,242BI1
818,818
806,806
5310,5310
5106,5106
5111,5111
6224EX1,6224EX1
6224,6224
5114,5114
5116,5116
5117,5117
5118,5118
5201,5201
5202,5202
5203,5203
5309,5309
5313,5313
5401,5401
5406,5406
5407,5407
808,808
814,814
820,820
6224VP1,6224VP1
6315,6315
6317,6317
752,752
751,751
755,755
756,756
