route_id,route_short_name,route_long_name,route_type
001,001,ITAPECERICA DA SERRA (PARQUE PARAISO) - SAO PAULO (METRO CAPAO REDONDO),3
002,002,EMBU DAS ARTES (ENGENHO VELHO) - SAO PAULO (METRO CAPAO REDONDO),3
003,003,GUARULHOS (COCAIA) - SAO PAULO (METRO TUCURUVI),3
004,004,SAO BERNARDO DO CAMPO (PARQUE ALVARENGA) - SAO PAULO (TERMINAL SACOMA),3
006,006,SAO BERNARDO DO CAMPO (COOPERATIVA) - SAO PAULO (TERMINAL SACOMA),3
008,008,SAO CAETANO DO SUL (NOVA GERTI) - SAO PAULO (TERMINAL SACOMA),3
011,011,GUARULHOS (PARQUE CONTINENTAL II) - SAO PAULO (METRO ARMENIA),3
011PR1,011PR1,GUARULHOS (PARQUE CONTINENTAL III) - SAO PAULO (METRO ARMENIA),3
012,012,EMBU-GUACU (VILA DIRCE) - SAO PAULO (TERMINAL GRAJAU),3
014,014,FRANCO DA ROCHA (PARQUE VITORIA) - CAIEIRAS (TERMINAL RODOVIARIO ALIPIO MARTINHO),3
016,016,GUARULHOS (TERMINAL METROPOLITANO TABOAO) - SAO PAULO (METRO ARMENIA),3
020,020,CARAPICUIBA (VILA DIRCE) - OSASCO (VILA YARA),3
022,022,CARAPICUIBA (VILA DIRCE) - OSASCO (VILA YARA),3
023,023,CARAPICUIBA (COHAB V) - OSASCO (VILA YARA),3
024,024,ITAPEVI (JARDIM AMADOR BUENO) - COTIA (TERMINAL METROPOLITANO DE COTIA),3
025,025,SUZANO (CIDADE EDSON) - MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),3
027,027,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE) - SAO PAULO (JARDIM TIETE),3
027EX1,027EX1,SANTO ANDRE (HOSPITAL MARIO COVAS) - SAO PAULO (JARDIM TIETE),3
02Verde,02Verde,DUTRA (GUARULHOS) - VILA PRUDENTE,3
030,030,JUQUITIBA (BARNABES) - ITAPECERICA DA SERRA (VALO VELHO),3
030BI1,030BI1,JUQUITIBA (BAIRRO DOS JUSTINOS) - ITAPECERICA DA SERRA (VALO VELHO),3
032,032,ITAPECERICA DA SERRA (PARQUE PARAISO) - SAO PAULO (METRO VILA SONIA),3
032DV1,032DV1,ITAPECERICA DA SERRA (PARQUE PARAISO) - SAO PAULO (METRO VILA SONIA),3
033,033,EMBU DAS ARTES (ENGENHO VELHO) - SAO PAULO (METRO VILA SONIA),3
034,034,ITAPECERICA DA SERRA (JARDIM SAO MARCOS) - ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS),3
035,035,COTIA (MIRANTE DA MATA) - SAO PAULO (METRO BUTANTA),3
036,036,VARGEM GRANDE PAULISTA (JARDIM SAO MARCOS) - SAO PAULO (METRO MORUMBI),3
036BI1,036BI1,EMBU DAS ARTES (JARDIM TOME) - SAO PAULO (METRO MORUMBI),3
038,038,MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES) - SAO PAULO (METRO ARMENIA),3
038VP1,038VP1,SAO PAULO (SAO MIGUEL PAULISTA) - SAO PAULO (METRO ARMENIA),3
039,039,SUZANO (CIDADE EDSON) - MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),3
040,040,SANTO ANDRE (PARANAPIACABA) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),3
040EX1,040EX1,SANTO ANDRE (PARQUE ANDREENSE) - SANTO ANDRE (TERMINAL METROPOLITANO DE SANTO ANDRE LESTE),3
041,041,RIO GRANDE DA SERRA (CENTRO) - RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),3
042,042,MAIRIPORA (DIVISA) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
042VP1,042VP1,MAIRIPORA (ESPACO PAULO AMAURY SERRALVO) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
043,043,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SANTO ANDRE (CATA PRETA),3
043BI1,043BI1,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SANTO ANDRE (REPRESA),3
