2024-02-26T06:00:31.106Z - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
2024-02-26T06:04:50.801Z - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
2024-02-26T06:06:59.080Z - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:08:25 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:33 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:33 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:34 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:34 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:34 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:34 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:34 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:34 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:34 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:34 - Linha 13: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:34 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:34 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:34 - Linha 15: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:34 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:34 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:34 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:34 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:34 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:35 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:35 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:35 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:35 - Linha 13: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:35 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:35 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:35 - Linha 15: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:35 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:36 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:37 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:37 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:37 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:37 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:37 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:37 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:37 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:37 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:37 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:37 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:37 - Linha 13: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:37 - Linha 15: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:38 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:38 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:38 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:38 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:38 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:38 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:38 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:38 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:38 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:38 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:38 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:38 - Linha 13: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:38 - Linha 15: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:38 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:39 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:39 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:39 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:39 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:39 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:39 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:39 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:39 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:39 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:39 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 13: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 15: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:40 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:40 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:41 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:41 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:41 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:41 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:41 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:41 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:41 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:41 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:41 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:41 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:41 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:42 - Linha 13: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:42 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:42 - Linha 15: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:42 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:42 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:42 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:42 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:42 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:42 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:42 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:42 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:42 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 13: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
